coremap_id,source_key,outcome,name_en,name_my
7232,03_Township:58,renamed,Thayarwady,သာယာဝတီ
7225,03_Township:48,renamed,Letpadan,လက်ပံတန်း
7224,03_Township:49,renamed,Minhla,မင်းလှ
7168,03_Township:52,renamed,Okpho,အုတ်ဖို
7162,03_Township:60,renamed,Zigon,ဇီးကုန်း
7160,03_Township:51,renamed,Nattalin,နတ်တလင်း
7171,03_Township:50,renamed,Monyo,မိုးညို
7163,03_Township:47,renamed,Gyobingauk,ကြို့ပင်ကောက်
7072,03_Township:106,renamed,Magway,မကွေး
7028,03_Township:125,renamed,Yenangyaung,ရေနံချောင်း
7031,03_Township:103,renamed,Chauk,ချောက်
7076,03_Township:122,renamed,Taungdwingyi,တောင်တွင်းကြီး
7071,03_Township:111,renamed,Myothit,မြို့သစ်
7038,03_Township:112,renamed,Natmauk,နတ်မောက်
7024,03_Township:116,renamed,Pwintbyu,ပွင့်ဖြူ
7096,03_Township:113,renamed,Ngape,ငဖဲ
7033,03_Township:117,renamed,Salin,စလင်း
7127,03_Township:123,renamed,Thayet,သရက်
7090,03_Township:109,renamed,Minhla,မင်းလှ
7107,03_Township:108,renamed,Mindon,မင်းတုန်း
7114,03_Township:105,renamed,Kamma,ကံမ
7123,03_Township:102,renamed,Aunglan,အောင်လံ
7081,03_Township:121,renamed,Sinbaungwe,ဆင်ပေါင်ဝဲ
6914,03_Township:114,renamed,Pakokku,ပခုက္ကူ
6883,03_Township:126,renamed,Yesagyo,ရေစကြို
6931,03_Township:110,renamed,Myaing,မြိုင်
6929,03_Township:115,renamed,Pauk,ပေါက်
6916,03_Township:119,renamed,Seikphyu,ဆိပ်ဖြူ
6809,03_Township:104,renamed,Gangaw,ဂန့်ဂေါ
6927,03_Township:124,renamed,Tilin,ထီးလင်း
6926,03_Township:118,renamed,Saw,ဆော
6535,03_Township:128,renamed,Aungmyaythazan,အောင်မြေသာစံ
6237,03_Township:129,reparented,Chanayethazan,ချမ်းအေးသာစံ
6259,03_Township:134,reparented,Mahaaungmyay,မဟာအောင်မြေ
6223,03_Township:130,reparented,Chanmyathazi,ချမ်းမြသာစည်
6203,03_Township:145,reparented,Pyigyitagon,ပြည်ကြီးတံခွန်
6202,03_Township:127,reparented,Amarapura,အမရပူရ
6276,03_Township:143,renamed,Patheingyi,ပုသိမ်ကြီး
6536,03_Township:146,renamed,Pyinoolwin,ပြင်ဦးလွင်
6544,03_Township:133,reparented,Madaya,မတ္တရာ
6550,03_Township:147,reparented,Singu,စဉ့်ကူး
6553,03_Township:137,reparented,Mogoke,မိုးကုတ်
6554,03_Township:151,reparented,Thabeikkyin,သပိတ်ကျင်း
6198,03_Township:132,renamed,Kyaukse,ကျောက်ဆည်
6205,03_Township:148,renamed,Sintgaing,စဉ့်ကိုင်
6200,03_Township:139,renamed,Myittha,မြစ်သား
6891,03_Township:149,reparented,Tada-U,တံတားဦး
6888,03_Township:138,renamed,Myingyan,မြင်းခြံ
6903,03_Township:150,renamed,Taungtha,တောင်သာ
6892,03_Township:140,renamed,Natogyi,နွားထိုးကြီး
7050,03_Township:131,renamed,Kyaukpadaung,ကျောက်ပန်းတောင်း
6857,03_Township:141,reparented,Ngazun,ငါန်းဇွန်
6905,03_Township:142,renamed,Nyaung-U,ညောင်ဦး
