source_key,level,action,outcome,coremap_id,target_parent_id,name_en,name_my,official,rename,reparent,reclassify,create,notes
03_Township:198,township,update_name,renamed,6742,6799,Kalewa,ကလေးဝ,True,True,False,False,False,matched_preserve_geom
03_Township:208,township,update_name,renamed,6798,6799,Mingin,မင်းကင်း,True,True,False,False,False,matched_preserve_geom
03_Township:220,township,update_name,renamed,6726,6725,Tamu,တမူး,True,True,False,False,False,matched_preserve_geom
03_Township:207,township,update_name,renamed,5022,5021,Mawlaik,မော်လိုက်,True,True,False,False,False,matched_preserve_geom
03_Township:214,township,update_name,renamed,6715,5021,Paungbyin,ဖောင်းပြင်,True,True,False,False,False,matched_preserve_geom
03_Township:194,township,update_name,renamed,6694,6700,Hkamti,ခန္တီး,True,True,False,False,False,matched_preserve_geom
03_Township:195,township,update_name,renamed,6701,6700,Homalin,ဟုမ္မလင်း,True,True,False,False,False,matched_preserve_geom
03_Township:206,township,update_name,renamed,6699,6693,Layshi,လေရှီး,True,True,False,False,False,matched_preserve_geom
03_Township:205,township,update_name,renamed,6692,6693,Lahe,လဟယ်,True,True,False,False,False,matched_preserve_geom
03_Township:212,township,create_mimu_placeholder,renamed,6674,6693,Nanyun,နန်းယွန်း,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
03_Township:309,township,update_name,renamed,7470,7509,Dawei,ထားဝယ်,True,True,False,False,False,matched_preserve_geom
03_Township:312,township,update_name,renamed,7481,7509,Launglon,လောင်းလုံး,True,True,False,False,False,matched_preserve_geom
03_Township:316,township,update_name,renamed,7471,7509,Thayetchaung,သရက်ချောင်း,True,True,False,False,False,matched_preserve_geom
03_Township:317,township,update_name,renamed,7503,7509,Yebyu,ရေဖြူ,True,True,False,False,False,matched_preserve_geom
03_Township:313,township,update_name,renamed,7465,7448,Myeik,မြိတ်,True,True,False,False,False,matched_preserve_geom
03_Township:311,township,update_name,renamed,7439,7448,Kyunsu,ကျွန်းစု,True,True,False,False,False,matched_preserve_geom
03_Township:314,township,update_name,renamed,7469,7448,Palaw,ပုလော,True,True,False,False,False,matched_preserve_geom
03_Township:315,township,update_name,renamed,7468,7448,Tanintharyi,တနင်္သာရီ,True,True,False,False,False,matched_preserve_geom
03_Township:310,township,manual_review,manual_review_remaining,,,Kawthoung,ကော့သောင်း,True,False,False,False,False,Fuzzy-name candidates are review-only: 7444:ကော့သောင်မြို့နယ်:0.947
03_Township:308,township,update_name_and_parent,reparented,5035,7438,Bokpyin,ဘုတ်ပြင်း,True,True,True,False,False,matched_preserve_geom
03_Township:33,township,update_name,renamed,5924,5923,Bago,ပဲခူး,True,True,False,False,False,matched_preserve_geom
03_Township:44,township,update_name,renamed,5865,5923,Thanatpin,သနပ်ပင်,True,True,False,False,False,matched_preserve_geom
03_Township:36,township,update_name,renamed,5873,5923,Kawa,ကဝ,True,True,False,False,False,matched_preserve_geom
03_Township:45,township,update_name,renamed,5922,5923,Waw,ဝေါ,True,True,False,False,False,matched_preserve_geom
03_Township:39,township,update_name,renamed,5910,5923,Nyaunglebin,ညောင်လေးပင်,True,True,False,False,False,matched_preserve_geom
03_Township:38,township,update_name,renamed,5925,5923,Kyauktaga,ကျောက်တံခါး,True,True,False,False,False,matched_preserve_geom
03_Township:34,township,update_name,renamed,5911,5923,Daik-U,ဒိုက်ဦး,True,True,False,False,False,matched_preserve_geom
