admin_public_id,language_code,alias_name,normalized_alias,preserve_primary,replace_primary,source_postal_code,reason,manifest_version,production_apply
d80106a1-79fe-429d-aceb-fb0fa2b3d2d8,en,Kye Tha Yauk (Sun Par) Village Tract,kyethayauksunpar,true,false,0201201,postal EN spelling not in primary/alias set,v3,false
c94d6a74-4371-44f5-8702-f63ab72ea5b6,en,Tha Man Chaung Son Village Tract,thamanchaungson,true,false,0201202,postal EN spelling not in primary/alias set,v3,false
c4a960ee-a9be-44c9-826d-216204d1444e,en,Kyaing Raing Village Tract,kyaingraing,true,false,0201203,postal EN spelling not in primary/alias set,v3,false
2d423907-f873-4a47-8bdc-225e30379fae,en,Yaung Ngway Village Tract,yaungngway,true,false,0201204,postal EN spelling not in primary/alias set,v3,false
4d3789b4-7a15-4f03-b5bf-7890305cd578,en,Har War Village Tract,harwar,true,false,0201205,postal EN spelling not in primary/alias set,v3,false
c63583b9-5f13-4328-b064-4356f982be61,en,Lar Khu (1) Village Tract,larkhu1,true,false,0201208,postal EN spelling not in primary/alias set,v3,false
05efdbe4-682c-4fec-b7c2-f13d8be588de,en,Ga Gaw Ka Bar Village Tract,gagawkabar,true,false,0201212,postal EN spelling not in primary/alias set,v3,false
d5308acf-7bce-4464-a2c4-2fff9f0b672a,en,Thar Man Village Tract,tharman,true,false,0201213,postal EN spelling not in primary/alias set,v3,false
f45ba55d-a7b5-4ac0-8562-11bfb47be21a,en,Lein Hnoke (1) Village Tract,leinhnoke1,true,false,0201214,postal EN spelling not in primary/alias set,v3,false
cf69684a-10ae-4beb-bc6f-125411405bf0,en,Ah Htet Lu Lun Village Tract,ahhtetlulun,true,false,0201215,postal EN spelling not in primary/alias set,v3,false
9b820db9-a61f-44ec-ac7f-a73d9822c4a1,en,Hpar Kyet Village Tract,hparkyet,true,false,0201217,postal EN spelling not in primary/alias set,v3,false
8b1f8f13-d507-4e1f-a5f6-b35cfd5e4939,en,Chein Kauk Village Tract,cheinkauk,true,false,0201219,postal EN spelling not in primary/alias set,v3,false
4d285374-5fde-4294-b8e6-568ebff1ef09,en,Taw Lun Village Tract,tawlun,true,false,0201220,postal EN spelling not in primary/alias set,v3,false
da1a3637-7fe5-477f-a5dd-b7aea502fe78,en,Lat Kee Lon Yar Village Tract,latkeelonyar,true,false,0201221,postal EN spelling not in primary/alias set,v3,false
d73c68dd-02c1-45af-b922-12829bfdb449,en,San Tee Village Tract,santee,true,false,0201222,postal EN spelling not in primary/alias set,v3,false
754f95ff-33ab-4eb5-bba7-49d641ea4003,en,Rein Khu Village Tract,reinkhu,true,false,0201223,postal EN spelling not in primary/alias set,v3,false
4dc8eba8-1725-4223-b399-e48a3bb6ce50,en,Kar Lun Village Tract,karlun,true,false,0201224,postal EN spelling not in primary/alias set,v3,false
a9849551-0342-4760-b6fb-2ac940d5888b,en,Mi Ku Nauk Kone Village Tract,mikunaukkone,true,false,0201225,postal EN spelling not in primary/alias set,v3,false
31e9218e-ed84-4293-8cb2-0b9bb38d9cbe,en,Kyar Wun Nauk Pauk Village Tract,kyarwunnaukpauk,true,false,0201226,postal EN spelling not in primary/alias set,v3,false
ad41dd55-ce2c-45db-84cb-21ca63a67ecb,en,Taw Kye Village Tract,tawkye,true,false,0201227,postal EN spelling not in primary/alias set,v3,false
67086cce-6c88-4d60-bf60-858ff078def5,en,Yan Si Village Tract,yansi,true,false,0201228,postal EN spelling not in primary/alias set,v3,false
0de8d91d-7309-4c5c-9ced-dec2a3d590df,en,Chan Ban Village Tract,chanban,true,false,0201230,postal EN spelling not in primary/alias set,v3,false
d076396b-98bf-4014-bc27-8cd3e926357d,en,Ka Gyi Chan My Village Tract,kagyichanmy,true,false,0201231,postal EN spelling not in primary/alias set,v3,false
7a8ab4be-2402-4ccc-918b-4fb26578311a,en,Ha Khee Village Tract,hakhee,true,false,0201233,postal EN spelling not in primary/alias set,v3,false
050968d7-6ecf-48a3-b70a-89aae6b951f9,en,Lar Mar Village Tract,larmar,true,false,0201234,postal EN spelling not in primary/alias set,v3,false
